Tabelle: 12711-0008
Wanderungen zwischen Deutschland und dem Ausland:;;;
Deutschland, Jahre, Nationalität, Herkunfts-/Zielländer;;;
Wanderungsstatistik;;;;;;
Deutschland;;;;;;
;Deutsche;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;
Kroatien;247;e;260;e;-13;e
Slowenien;79;e;110;e;-31;e
Griechenland;1009;e;962;e;47;e
Irland;611;e;746;e;-135;e
Island;61;e;71;e;-10;e
Italien;2559;e;3013;e;-454;e
Lettland;177;e;68;e;109;e
Montenegro (ab 03.06.2006);0;e;0;e;0;e
Litauen;256;e;54;e;202;e
Luxemburg;503;e;638;e;-135;e
Nordmazedonien;57;e;31;e;26;e
Malta;51;e;43;e;8;e
Niederlande;3762;e;3875;e;-113;e
Norwegen;332;e;659;e;-327;e
Kosovo;0;e;0;e;0;e
Österreich;3657;e;5630;e;-1973;e
Polen;20872;e;11420;e;9452;e
Portugal;879;e;958;e;-79;e
Rumänien;817;e;345;e;472;e
Slowakei;132;e;84;e;48;e
Schweden;506;e;1031;e;-525;e
Schweiz;4093;e;9092;e;-4999;e
Russische Föderation;42425;e;1440;e;40985;e
Spanien;5909;e;6697;e;-788;e
Türkei;1514;e;1384;e;130;e
Tschechien;908;e;669;e;239;e
Ungarn;766;e;673;e;93;e
Ukraine;3347;e;190;e;3157;e
Vereinigtes Königreich;4594;e;5596;e;-1002;e
Belarus;205;e;42;e;163;e
Serbien;0;e;0;e;0;e
Zypern;131;e;116;e;15;e
Übriges Europa;670;e;487;e;183;e
Algerien;60;e;56;e;4;e
Angola;15;e;6;e;9;e
Äthiopien;80;e;72;e;8;e
Cote d'Ivoire;27;e;35;e;-8;e
Nigeria;159;e;100;e;59;e
Ghana;135;e;99;e;36;e
Kenia;228;e;144;e;84;e
Kongo, Republik;18;e;19;e;-1;e
Kongo, Demokratische Republik;9;e;8;e;1;e
Libyen;36;e;41;e;-5;e
Marokko;191;e;147;e;44;e
Niger;24;e;4;e;20;e
Kamerun;77;e;47;e;30;e
Südafrika;1186;e;804;e;382;e
Ruanda;23;e;32;e;-9;e
Namibia;341;e;204;e;137;e
Senegal;57;e;57;e;0;e
Somalia;17;e;5;e;12;e
Sudan (einschließlich Südsudan) (bis 08.07.2011);-;;-;;-;
Sudan (ohne Südsudan) (ab 09.07.2011);-;;-;;-;
Südsudan (ab 09.07.2011);-;;-;;-;
Tansania;148;e;134;e;14;e
Tunesien;244;e;205;e;39;e
Uganda;56;e;68;e;-12;e
Ägypten;391;e;313;e;78;e
Zentralafrikanische Republik;23;e;19;e;4;e
Übriges Afrika;700;e;495;e;205;e
Argentinien;618;e;271;e;347;e
Bolivien, Plurinationaler Staat;182;e;126;e;56;e
Brasilien;1368;e;1071;e;297;e
Chile;449;e;274;e;175;e
Costa Rica;129;e;82;e;47;e
Honduras;59;e;23;e;36;e
Kanada;1322;e;1926;e;-604;e
Kolumbien;385;e;131;e;254;e
Mexiko;621;e;500;e;121;e
Nicaragua;36;e;18;e;18;e
Paraguay;339;e;240;e;99;e
Peru;247;e;133;e;114;e
Uruguay;114;e;58;e;56;e
Venezuela, Bolivarische Republik;287;e;156;e;131;e
Vereinigte Staaten;11514;e;13485;e;-1971;e
Übriges Amerika;1044;e;691;e;353;e
Jemen;42;e;28;e;14;e
Armenien;58;e;10;e;48;e
Afghanistan;31;e;27;e;4;e
Aserbaidschan;69;e;13;e;56;e
Georgien;71;e;17;e;54;e
Vietnam;143;e;88;e;55;e
Korea, Demokratische Volksrepublik;28;e;27;e;1;e
Indien;462;e;381;e;81;e
Indonesien;323;e;276;e;47;e
Irak;80;e;17;e;63;e
Iran, Islamische Republik;111;e;90;e;21;e
Israel;399;e;381;e;18;e
Japan;484;e;452;e;32;e
Kasachstan;41212;e;557;e;40655;e
Jordanien;157;e;112;e;45;e
Kuwait;23;e;31;e;-8;e
Kirgisistan;1917;e;74;e;1843;e
Libanon;240;e;305;e;-65;e
Pakistan;284;e;196;e;88;e
Philippinen;477;e;361;e;116;e
Korea, Republik;127;e;95;e;32;e
Vereinigte Arabische Emirate;219;e;310;e;-91;e
Tadschikistan;61;e;5;e;56;e
Saudi-Arabien;182;e;144;e;38;e
Singapur;504;e;420;e;84;e
Syrien;148;e;105;e;43;e
Thailand;698;e;621;e;77;e
Usbekistan;933;e;17;e;916;e
China;801;e;864;e;-63;e
Übriges Asien;882;e;566;e;316;e
Australien;1126;e;1614;e;-488;e
Neuseeland;338;e;393;e;-55;e
Übriges Ozeanien;92;e;84;e;8;e
Unbekanntes Ausland;196;e;3881;e;-3685;e
Ungeklärt / Ohne Angabe;8096;e;8072;e;24;e
Insgesamt;193958;e;109507;e;84451;e
2002;;;;;;
Albanien;37;e;30;e;7;e
Bosnien und Herzegowina;96;e;85;e;11;e
Andorra;8;e;17;e;-9;e
Belgien;1960;e;2465;e;-505;e
Bulgarien;190;e;120;e;70;e
Dänemark;595;e;724;e;-129;e
Estland;105;e;43;e;62;e
Finnland;177;e;262;e;-85;e
Frankreich;5412;e;6875;e;-1463;e
Kroatien;252;e;265;e;-13;e
Slowenien;93;e;129;e;-36;e
Griechenland;902;e;1102;e;-200;e
Irland;537;e;725;e;-188;e
Island;60;e;87;e;-27;e
Italien;2503;e;3264;e;-761;e
Lettland;137;e;52;e;85;e
Montenegro (ab 03.06.2006);0;e;0;e;0;e
Litauen;305;e;60;e;245;e
Luxemburg;583;e;667;e;-84;e
Nordmazedonien;37;e;49;e;-12;e
Malta;46;e;48;e;-2;e
Niederlande;3772;e;3660;e;112;e
Norwegen;378;e;821;e;-443;e
Kosovo;0;e;0;e;0;e
Österreich;3687;e;6279;e;-2592;e
Polen;19502;e;11084;e;8418;e
Portugal;860;e;806;e;54;e
Rumänien;757;e;403;e;354;e
Slowakei;146;e;95;e;51;e
Schweden;598;e;1144;e;-546;e
Schweiz;4271;e;10703;e;-6432;e
