Tabelle: 12711-0006
Wanderungen zwischen Deutschland und dem Ausland:;;;;;;;;;
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;;;;
;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;;;;;;;;;;;;;
48-Jährige;1432;e;827;e;605;e;1081;e;460;e;621;e;2513;e;1287;e;1226;e
49-Jährige;1249;e;716;e;533;e;1110;e;452;e;658;e;2359;e;1168;e;1191;e
50-Jährige;1320;e;733;e;587;e;1006;e;423;e;583;e;2326;e;1156;e;1170;e
51-Jährige;1208;e;629;e;579;e;920;e;473;e;447;e;2128;e;1102;e;1026;e
52-Jährige;1040;e;628;e;412;e;772;e;407;e;365;e;1812;e;1035;e;777;e
53-Jährige;905;e;578;e;327;e;695;e;331;e;364;e;1600;e;909;e;691;e
54-Jährige;704;e;484;e;220;e;499;e;275;e;224;e;1203;e;759;e;444;e
55-Jährige;539;e;386;e;153;e;346;e;265;e;81;e;885;e;651;e;234;e
56-Jährige;636;e;536;e;100;e;373;e;285;e;88;e;1009;e;821;e;188;e
57-Jährige;702;e;498;e;204;e;411;e;278;e;133;e;1113;e;776;e;337;e
58-Jährige;722;e;474;e;248;e;557;e;335;e;222;e;1279;e;809;e;470;e
59-Jährige;816;e;535;e;281;e;713;e;312;e;401;e;1529;e;847;e;682;e
60-Jährige;910;e;597;e;313;e;718;e;360;e;358;e;1628;e;957;e;671;e
61-Jährige;842;e;505;e;337;e;757;e;345;e;412;e;1599;e;850;e;749;e
62-Jährige;772;e;455;e;317;e;700;e;292;e;408;e;1472;e;747;e;725;e
63-Jährige;741;e;397;e;344;e;738;e;235;e;503;e;1479;e;632;e;847;e
64-Jährige;610;e;320;e;290;e;590;e;205;e;385;e;1200;e;525;e;675;e
65-Jährige;639;e;273;e;366;e;524;e;233;e;291;e;1163;e;506;e;657;e
66-Jährige;387;e;200;e;187;e;417;e;205;e;212;e;804;e;405;e;399;e
67-Jährige;320;e;165;e;155;e;347;e;115;e;232;e;667;e;280;e;387;e
68-Jährige;318;e;154;e;164;e;352;e;117;e;235;e;670;e;271;e;399;e
69-Jährige;321;e;143;e;178;e;306;e;99;e;207;e;627;e;242;e;385;e
70-Jährige;347;e;182;e;165;e;361;e;119;e;242;e;708;e;301;e;407;e
71-Jährige;316;e;118;e;198;e;347;e;100;e;247;e;663;e;218;e;445;e
72-Jährige;256;e;110;e;146;e;385;e;134;e;251;e;641;e;244;e;397;e
73-Jährige;246;e;101;e;145;e;319;e;113;e;206;e;565;e;214;e;351;e
74-Jährige;202;e;89;e;113;e;319;e;97;e;222;e;521;e;186;e;335;e
75-Jährige;182;e;76;e;106;e;278;e;92;e;186;e;460;e;168;e;292;e
76-Jährige;123;e;57;e;66;e;261;e;103;e;158;e;384;e;160;e;224;e
77-Jährige;117;e;43;e;74;e;220;e;82;e;138;e;337;e;125;e;212;e
78-Jährige;76;e;40;e;36;e;142;e;86;e;56;e;218;e;126;e;92;e
79-Jährige;65;e;50;e;15;e;122;e;82;e;40;e;187;e;132;e;55;e
80-Jährige;55;e;40;e;15;e;142;e;75;e;67;e;197;e;115;e;82;e
81-Jährige;58;e;34;e;24;e;122;e;64;e;58;e;180;e;98;e;82;e
82-Jährige;38;e;23;e;15;e;112;e;51;e;61;e;150;e;74;e;76;e
83-Jährige;20;e;14;e;6;e;46;e;36;e;10;e;66;e;50;e;16;e
84-Jährige;27;e;17;e;10;e;73;e;46;e;27;e;100;e;63;e;37;e
85-Jährige;23;e;17;e;6;e;51;e;50;e;1;e;74;e;67;e;7;e
86-Jährige;20;e;16;e;4;e;84;e;53;e;31;e;104;e;69;e;35;e
87-Jährige;15;e;19;e;-4;e;71;e;52;e;19;e;86;e;71;e;15;e
88-Jährige;17;e;32;e;-15;e;55;e;37;e;18;e;72;e;69;e;3;e
89-Jährige;13;e;11;e;2;e;42;e;31;e;11;e;55;e;42;e;13;e
90-Jährige;6;e;8;e;-2;e;34;e;33;e;1;e;40;e;41;e;-1;e
91-Jährige;7;e;6;e;1;e;25;e;22;e;3;e;32;e;28;e;4;e
92-Jährige;5;e;4;e;1;e;30;e;27;e;3;e;35;e;31;e;4;e
93-Jährige;3;e;3;e;0;e;22;e;12;e;10;e;25;e;15;e;10;e
94-Jährige;1;e;1;e;0;e;13;e;7;e;6;e;14;e;8;e;6;e
95 Jahre und mehr;13;e;8;e;5;e;26;e;18;e;8;e;39;e;26;e;13;e
Insgesamt;104586;e;62531;e;42055;e;87323;e;48713;e;38610;e;191909;e;111244;e;80665;e
2001;;;;;;;;;;;;;;;;;;
unter 1 Jahr;1365;e;271;e;1094;e;1156;e;242;e;914;e;2521;e;513;e;2008;e
1-Jährige;1814;e;800;e;1014;e;1602;e;642;e;960;e;3416;e;1442;e;1974;e
