year,country,emigration,immigration,return_rate_country
2001,Griechenland,962,1009,1.0488565488565489
2001,Honduras,23,59,2.5652173913043477
2001,Indien,381,462,1.2125984251968505
2001,Indonesien,276,323,1.1702898550724639
2001,Insgesamt,109507,193958,1.7711927091418813
2001,Irak,17,80,4.705882352941177
2001,"Iran, Islamische Republik",90,111,1.2333333333333334
2001,Irland,746,611,0.8190348525469169
2001,Island,71,61,0.8591549295774648
2001,Israel,381,399,1.047244094488189
2001,Italien,3013,2559,0.8493196150016594
2001,Japan,452,484,1.0707964601769913
2001,Jemen,28,42,1.5
2001,Jordanien,112,157,1.4017857142857142
2001,Kamerun,47,77,1.6382978723404256
2001,Kanada,1926,1322,0.6863966770508827
2001,Kasachstan,557,41212,73.98922800718132
2001,Kenia,144,228,1.5833333333333333
2001,Kirgisistan,74,1917,25.905405405405407
2001,Kolumbien,131,385,2.9389312977099236
2001,"Kongo, Demokratische Republik",8,9,1.125
2001,"Kongo, Republik",19,18,0.9473684210526315
2001,"Korea, Demokratische Volksrepublik",27,28,1.037037037037037
2001,"Korea, Republik",95,127,1.3368421052631578
2001,Kosovo,0,0,
2001,Kroatien,260,247,0.95
2001,Kuwait,31,23,0.7419354838709677
2001,Lettland,68,177,2.6029411764705883
2001,Libanon,305,240,0.7868852459016393
2001,Libyen,41,36,0.8780487804878049
2001,Litauen,54,256,4.7407407407407405
2001,Luxemburg,638,503,0.7884012539184952
2001,Malta,43,51,1.186046511627907
2001,Marokko,147,191,1.2993197278911566
2001,Mexiko,500,621,1.242
2001,Montenegro (ab 03.06.2006),0,0,
2001,Namibia,204,341,1.6715686274509804
2001,Neuseeland,393,338,0.8600508905852418
2001,Nicaragua,18,36,2.0
2001,Niederlande,3875,3762,0.9708387096774194
2001,Niger,4,24,6.0
2001,Nigeria,100,159,1.59
2001,Nordmazedonien,31,57,1.8387096774193548
2001,Norwegen,659,332,0.503793626707132
2001,Pakistan,196,284,1.4489795918367347
2001,Paraguay,240,339,1.4125
2001,Peru,133,247,1.8571428571428572
2001,Philippinen,361,477,1.3213296398891967
2001,Polen,11420,20872,1.8276707530647986
2001,Portugal,958,879,0.9175365344467641
2001,Ruanda,32,23,0.71875
2001,Rumänien,345,817,2.3681159420289855
2001,Russische Föderation,1440,42425,29.461805555555557
2001,Saudi-Arabien,144,182,1.2638888888888888
2001,Schweden,1031,506,0.49078564500484967
2001,Schweiz,9092,4093,0.4501759788825341
2001,Senegal,57,57,1.0
2001,Serbien,0,0,
2001,Singapur,420,504,1.2
2001,Slowakei,84,132,1.5714285714285714
2001,Slowenien,110,79,0.7181818181818181
2001,Somalia,5,17,3.4
2001,Spanien,6697,5909,0.8823353740480813
2001,Syrien,105,148,1.4095238095238096
2001,Südafrika,804,1186,1.4751243781094527
2001,Tadschikistan,5,61,12.2
2001,Tansania,134,148,1.1044776119402986
2001,Thailand,621,698,1.1239935587761676
2001,Tschechien,669,908,1.3572496263079223
2001,Tunesien,205,244,1.1902439024390243
2001,Türkei,1384,1514,1.0939306358381502
2001,Uganda,68,56,0.8235294117647058
2001,Ukraine,190,3347,17.61578947368421
2001,Unbekanntes Ausland,3881,196,0.0505024478227261
2001,Ungarn,673,766,1.138187221396731
2001,Ungeklärt / Ohne Angabe,8072,8096,1.0029732408325074
2001,Uruguay,58,114,1.9655172413793103
2001,Usbekistan,17,933,54.88235294117647
2001,"Venezuela, Bolivarische Republik",156,287,1.8397435897435896
2001,Vereinigte Arabische Emirate,310,219,0.7064516129032258
2001,Vereinigte Staaten,13485,11514,0.8538375973303671
2001,Vereinigtes Königreich,5596,4594,0.8209435310936383
2001,Vietnam,88,143,1.625
2001,Zentralafrikanische Republik,19,23,1.2105263157894737
2001,Zypern,116,131,1.1293103448275863
2001,Ägypten,313,391,1.2492012779552715
2001,Äthiopien,72,80,1.1111111111111112
2001,Österreich,5630,3657,0.6495559502664299
2001,Übriges Afrika,495,700,1.4141414141414141
2001,Übriges Amerika,691,1044,1.5108538350217078
2001,Übriges Asien,566,882,1.558303886925795
2001,Übriges Europa,487,670,1.375770020533881
2001,Übriges Ozeanien,84,92,1.0952380952380953
2002,Afghanistan,74,20,0.2702702702702703
2002,Albanien,30,37,1.2333333333333334
2002,Algerien,296,341,1.152027027027027
2002,Andorra,17,8,0.47058823529411764
2002,Angola,14,18,1.2857142857142858
2002,Argentinien,264,887,3.359848484848485
2002,Armenien,11,88,8.0
2002,Aserbaidschan,18,54,3.0
2002,Australien,1715,1205,0.7026239067055393
2002,Belarus,35,387,11.057142857142857
2002,Belgien,2465,1960,0.795131845841785
2002,"Bolivien, Plurinationaler Staat",148,218,1.472972972972973
2002,Bosnien und Herzegowina,85,96,1.1294117647058823
2002,Brasilien,1069,1237,1.157156220767072
2002,Bulgarien,120,190,1.5833333333333333
2002,Chile,279,416,1.4910394265232976
2002,China,1014,823,0.8116370808678501
2002,Costa Rica,100,119,1.19
2002,Cote d'Ivoire,22,42,1.9090909090909092
2002,Dänemark,724,595,0.8218232044198895
2002,Estland,43,105,2.441860465116279
2002,Finnland,262,177,0.6755725190839694
2002,Frankreich,6875,5412,0.7872
2002,Georgien,29,68,2.3448275862068964
2002,Ghana,95,122,1.2842105263157895
2002,Griechenland,1102,902,0.8185117967332124
2002,Honduras,22,30,1.3636363636363635
2002,Indien,332,414,1.2469879518072289
2002,Indonesien,212,302,1.4245283018867925
2002,Insgesamt,117683,184202,1.5652388195406304
2002,Irak,24,45,1.875
2002,"Iran, Islamische Republik",155,137,0.8838709677419355
2002,Irland,725,537,0.7406896551724138
2002,Island,87,60,0.6896551724137931
2002,Israel,291,432,1.4845360824742269
2002,Italien,3264,2503,0.7668504901960784
2002,Japan,470,520,1.1063829787234043
2002,Jemen,30,31,1.0333333333333334
2002,Jordanien,127,133,1.047244094488189
2002,Kamerun,39,75,1.9230769230769231
2002,Kanada,2023,1104,0.5457241720217498
2002,Kasachstan,529,33964,64.20415879017013
2002,Kenia,164,188,1.146341463414634
2002,Kirgisistan,49,1715,35.0
2002,Kolumbien,142,311,2.1901408450704225
2002,"Kongo, Demokratische Republik",8,5,0.625
2002,"Kongo, Republik",9,14,1.5555555555555556
2002,"Korea, Demokratische Volksrepublik",35,25,0.7142857142857143
2002,"Korea, Republik",102,119,1.1666666666666667
2002,Kosovo,0,0,
2002,Kroatien,265,252,0.9509433962264151
2002,Kuwait,34,22,0.6470588235294118
2002,Lettland,52,137,2.6346153846153846
2002,Libanon,229,229,1.0
2002,Libyen,29,44,1.5172413793103448
2002,Litauen,60,305,5.083333333333333
2002,Luxemburg,667,583,0.8740629685157422
2002,Malta,48,46,0.9583333333333334
2002,Marokko,164,228,1.3902439024390243
2002,Mexiko,502,589,1.1733067729083666
2002,Montenegro (ab 03.06.2006),0,0,
2002,Namibia,262,295,1.1259541984732824
2002,Neuseeland,455,306,0.6725274725274726
2002,Nicaragua,36,65,1.8055555555555556
2002,Niederlande,3660,3772,1.0306010928961749
2002,Niger,18,20,1.1111111111111112
2002,Nigeria,112,137,1.2232142857142858
2002,Nordmazedonien,49,37,0.7551020408163265
2002,Norwegen,821,378,0.46041412911084045
2002,Pakistan,261,233,0.89272030651341
2002,Paraguay,204,329,1.6127450980392157
2002,Peru,172,226,1.313953488372093
2002,Philippinen,335,400,1.1940298507462686
2002,Polen,11084,19502,1.7594731143991338
2002,Portugal,806,860,1.066997518610422
2002,Ruanda,22,19,0.8636363636363636
2002,Rumänien,403,757,1.8784119106699753
2002,Russische Föderation,1710,41587,24.31988304093567
2002,Saudi-Arabien,141,186,1.3191489361702127
2002,Schweden,1144,598,0.5227272727272727
2002,Schweiz,10703,4271,0.39904699616929834
2002,Senegal,38,50,1.3157894736842106
2002,Serbien,0,0,
2002,Singapur,372,467,1.2553763440860215
2002,Slowakei,95,146,1.5368421052631578
2002,Slowenien,129,93,0.7209302325581395
2002,Somalia,13,1,0.07692307692307693
2002,Spanien,6767,6193,0.9151765922860943
2002,Syrien,149,142,0.9530201342281879
