year,dimension_type,dimension_value,direction,value
2000,country,Estland,immigration,136.0
2000,country,Finnland,emigration,247.0
2000,country,Finnland,immigration,215.0
2000,country,Frankreich,emigration,6603.0
2000,country,Frankreich,immigration,5633.0
2000,country,Georgien,emigration,11.0
2000,country,Georgien,immigration,62.0
2000,country,Ghana,emigration,130.0
2000,country,Ghana,immigration,127.0
2000,country,Griechenland,emigration,999.0
2000,country,Griechenland,immigration,958.0
2000,country,Honduras,emigration,24.0
2000,country,Honduras,immigration,57.0
2000,country,Indien,emigration,327.0
2000,country,Indien,immigration,453.0
2000,country,Indonesien,emigration,251.0
2000,country,Indonesien,immigration,282.0
2000,country,Irak,emigration,12.0
2000,country,Irak,immigration,48.0
2000,country,"Iran, Islamische Republik",emigration,82.0
2000,country,"Iran, Islamische Republik",immigration,120.0
2000,country,Irland,emigration,770.0
2000,country,Irland,immigration,515.0
2000,country,Island,emigration,81.0
2000,country,Island,immigration,50.0
2000,country,Israel,emigration,367.0
2000,country,Israel,immigration,384.0
2000,country,Italien,emigration,3077.0
2000,country,Italien,immigration,2623.0
2000,country,Japan,emigration,482.0
2000,country,Japan,immigration,529.0
2000,country,Jemen,emigration,29.0
2000,country,Jemen,immigration,20.0
2000,country,Jordanien,emigration,88.0
2000,country,Jordanien,immigration,131.0
2000,country,Kamerun,emigration,56.0
2000,country,Kamerun,immigration,73.0
2000,country,Kanada,emigration,2092.0
2000,country,Kanada,immigration,1264.0
2000,country,Kasachstan,emigration,474.0
2000,country,Kasachstan,immigration,42657.0
2000,country,Kenia,emigration,187.0
2000,country,Kenia,immigration,224.0
2000,country,Kirgisistan,emigration,41.0
2000,country,Kirgisistan,immigration,2125.0
2000,country,Kolumbien,emigration,122.0
2000,country,Kolumbien,immigration,461.0
2000,country,"Kongo, Demokratische Republik",emigration,7.0
2000,country,"Kongo, Demokratische Republik",immigration,8.0
2000,country,"Kongo, Republik",emigration,9.0
2000,country,"Kongo, Republik",immigration,14.0
2000,country,"Korea, Demokratische Volksrepublik",emigration,33.0
2000,country,"Korea, Demokratische Volksrepublik",immigration,30.0
2000,country,"Korea, Republik",emigration,92.0
2000,country,"Korea, Republik",immigration,120.0
2000,country,Kosovo,emigration,0.0
2000,country,Kosovo,immigration,0.0
2000,country,Kroatien,emigration,278.0
2000,country,Kroatien,immigration,296.0
2000,country,Kuwait,emigration,18.0
2000,country,Kuwait,immigration,42.0
2000,country,Lettland,emigration,75.0
2000,country,Lettland,immigration,239.0
2000,country,Libanon,emigration,164.0
2000,country,Libanon,immigration,213.0
2000,country,Libyen,emigration,37.0
2000,country,Libyen,immigration,39.0
2000,country,Litauen,emigration,52.0
2000,country,Litauen,immigration,330.0
2000,country,Luxemburg,emigration,648.0
2000,country,Luxemburg,immigration,512.0
2000,country,Malta,emigration,61.0
2000,country,Malta,immigration,49.0
2000,country,Marokko,emigration,155.0
2000,country,Marokko,immigration,236.0
2000,country,Mexiko,emigration,486.0
2000,country,Mexiko,immigration,628.0
2000,country,Montenegro (ab 03.06.2006),emigration,0.0
2000,country,Montenegro (ab 03.06.2006),immigration,0.0
2000,country,Namibia,emigration,214.0
2000,country,Namibia,immigration,344.0
2000,country,Neuseeland,emigration,394.0
2000,country,Neuseeland,immigration,274.0
2000,country,Nicaragua,emigration,44.0
2000,country,Nicaragua,immigration,53.0
2000,country,Niederlande,emigration,3665.0
2000,country,Niederlande,immigration,3838.0
2000,country,Niger,emigration,25.0
2000,country,Niger,immigration,11.0
2000,country,Nigeria,emigration,129.0
2000,country,Nigeria,immigration,143.0
2000,country,Nordmazedonien,emigration,40.0
2000,country,Nordmazedonien,immigration,30.0
2000,country,Norwegen,emigration,659.0
2000,country,Norwegen,immigration,338.0
2000,country,Pakistan,emigration,180.0
2000,country,Pakistan,immigration,265.0
2000,country,Paraguay,emigration,184.0
2000,country,Paraguay,immigration,403.0
2000,country,Peru,emigration,131.0
2000,country,Peru,immigration,244.0
2000,country,Philippinen,emigration,358.0
2000,country,Philippinen,immigration,482.0
2000,country,Polen,emigration,10968.0
2000,country,Polen,immigration,19961.0
2000,country,Portugal,emigration,924.0
2000,country,Portugal,immigration,874.0
2000,country,Ruanda,emigration,15.0
2000,country,Ruanda,immigration,10.0
2000,country,Rumänien,emigration,396.0
2000,country,Rumänien,immigration,1079.0
2000,country,Russische Föderation,emigration,1286.0
2000,country,Russische Föderation,immigration,40081.0
2000,country,Saudi-Arabien,emigration,154.0
2000,country,Saudi-Arabien,immigration,204.0
2000,country,Schweden,emigration,914.0
2000,country,Schweden,immigration,513.0
2000,country,Schweiz,emigration,7998.0
2000,country,Schweiz,immigration,3731.0
2000,country,Senegal,emigration,22.0
2000,country,Senegal,immigration,57.0
2000,country,Serbien,emigration,0.0
