year,dimension_type,dimension_value,direction,value
2000,country,Thailand,emigration,627
2000,country,Thailand,immigration,711
2000,country,Tschechien,emigration,621
2000,country,Tschechien,immigration,911
2000,country,Tunesien,emigration,192
2000,country,Tunesien,immigration,271
2000,country,Türkei,emigration,1339
2000,country,Türkei,immigration,1385
2000,country,Uganda,emigration,45
2000,country,Uganda,immigration,74
2000,country,Ukraine,emigration,110
2000,country,Ukraine,immigration,2997
2000,country,Unbekanntes Ausland,emigration,7667
2000,country,Unbekanntes Ausland,immigration,336
2000,country,Ungarn,emigration,741
2000,country,Ungarn,immigration,823
2000,country,Ungeklärt / Ohne Angabe,emigration,8113
2000,country,Ungeklärt / Ohne Angabe,immigration,8075
2000,country,Uruguay,emigration,74
2000,country,Uruguay,immigration,89
2000,country,Usbekistan,emigration,26
2000,country,Usbekistan,immigration,863
2000,country,"Venezuela, Bolivarische Republik",emigration,176
2000,country,"Venezuela, Bolivarische Republik",immigration,328
2000,country,Vereinigte Arabische Emirate,emigration,292
2000,country,Vereinigte Arabische Emirate,immigration,215
2000,country,Vereinigte Staaten,emigration,13855
2000,country,Vereinigte Staaten,immigration,11252
2000,country,Vereinigtes Königreich,emigration,5760
2000,country,Vereinigtes Königreich,immigration,4657
2000,country,Vietnam,emigration,60
2000,country,Vietnam,immigration,106
2000,country,Zentralafrikanische Republik,emigration,14
2000,country,Zentralafrikanische Republik,immigration,14
2000,country,Zypern,emigration,135
2000,country,Zypern,immigration,156
2000,country,Ägypten,emigration,302
2000,country,Ägypten,immigration,366
2000,country,Äthiopien,emigration,83
2000,country,Äthiopien,immigration,65
2000,country,Österreich,emigration,5225
2000,country,Österreich,immigration,3650
2000,country,Übriges Afrika,emigration,590
2000,country,Übriges Afrika,immigration,753
2000,country,Übriges Amerika,emigration,749
2000,country,Übriges Amerika,immigration,987
2000,country,Übriges Asien,emigration,633
2000,country,Übriges Asien,immigration,932
2000,country,Übriges Europa,emigration,503
2000,country,Übriges Europa,immigration,777
2000,country,Übriges Ozeanien,emigration,94
2000,country,Übriges Ozeanien,immigration,104
2001,country,Afghanistan,emigration,27
2001,country,Afghanistan,immigration,31
2001,country,Albanien,emigration,29
2001,country,Albanien,immigration,29
2001,country,Algerien,emigration,56
2001,country,Algerien,immigration,60
2001,country,Andorra,emigration,7
2001,country,Andorra,immigration,7
2001,country,Angola,emigration,6
2001,country,Angola,immigration,15
2001,country,Argentinien,emigration,271
2001,country,Argentinien,immigration,618
2001,country,Armenien,emigration,10
2001,country,Armenien,immigration,58
2001,country,Aserbaidschan,emigration,13
2001,country,Aserbaidschan,immigration,69
2001,country,Australien,emigration,1614
2001,country,Australien,immigration,1126
2001,country,Belarus,emigration,42
2001,country,Belarus,immigration,205
2001,country,Belgien,emigration,2285
2001,country,Belgien,immigration,2147
2001,country,"Bolivien, Plurinationaler Staat",emigration,126
2001,country,"Bolivien, Plurinationaler Staat",immigration,182
2001,country,Bosnien und Herzegowina,emigration,105
2001,country,Bosnien und Herzegowina,immigration,124
2001,country,Brasilien,emigration,1071
2001,country,Brasilien,immigration,1368
2001,country,Bulgarien,emigration,106
2001,country,Bulgarien,immigration,177
2001,country,Chile,emigration,274
2001,country,Chile,immigration,449
2001,country,China,emigration,864
2001,country,China,immigration,801
2001,country,Costa Rica,emigration,82
2001,country,Costa Rica,immigration,129
2001,country,Cote d'Ivoire,emigration,35
2001,country,Cote d'Ivoire,immigration,27
2001,country,Dänemark,emigration,722
2001,country,Dänemark,immigration,656
2001,country,Estland,emigration,54
2001,country,Estland,immigration,118
2001,country,Finnland,emigration,252
2001,country,Finnland,immigration,187
2001,country,Frankreich,emigration,6630
2001,country,Frankreich,immigration,5411
