year,origin,destination,migrants
2001,Germany,Kasachstan,557.0
2001,Germany,Kenia,144.0
2001,Germany,Kirgisistan,74.0
2001,Germany,Kolumbien,131.0
2001,Germany,"Kongo, Demokratische Republik",8.0
2001,Germany,"Kongo, Republik",19.0
2001,Germany,"Korea, Demokratische Volksrepublik",27.0
2001,Germany,"Korea, Republik",95.0
2001,Germany,Kosovo,0.0
2001,Germany,Kroatien,260.0
2001,Germany,Kuwait,31.0
2001,Germany,Lettland,68.0
2001,Germany,Libanon,305.0
2001,Germany,Libyen,41.0
2001,Germany,Litauen,54.0
2001,Germany,Luxemburg,638.0
2001,Germany,Malta,43.0
2001,Germany,Marokko,147.0
2001,Germany,Mexiko,500.0
2001,Germany,Montenegro (ab 03.06.2006),0.0
2001,Germany,Namibia,204.0
2001,Germany,Neuseeland,393.0
2001,Germany,Nicaragua,18.0
2001,Germany,Niederlande,3875.0
2001,Germany,Niger,4.0
2001,Germany,Nigeria,100.0
2001,Germany,Nordmazedonien,31.0
2001,Germany,Norwegen,659.0
2001,Germany,Pakistan,196.0
2001,Germany,Paraguay,240.0
2001,Germany,Peru,133.0
2001,Germany,Philippinen,361.0
2001,Germany,Polen,11420.0
2001,Germany,Portugal,958.0
2001,Germany,Ruanda,32.0
2001,Germany,Rumänien,345.0
2001,Germany,Russische Föderation,1440.0
2001,Germany,Saudi-Arabien,144.0
2001,Germany,Schweden,1031.0
2001,Germany,Schweiz,9092.0
2001,Germany,Senegal,57.0
2001,Germany,Serbien,0.0
2001,Germany,Singapur,420.0
2001,Germany,Slowakei,84.0
2001,Germany,Slowenien,110.0
2001,Germany,Somalia,5.0
2001,Germany,Spanien,6697.0
2001,Germany,Syrien,105.0
2001,Germany,Südafrika,804.0
2001,Germany,Tadschikistan,5.0
2001,Germany,Tansania,134.0
2001,Germany,Thailand,621.0
2001,Germany,Tschechien,669.0
2001,Germany,Tunesien,205.0
2001,Germany,Türkei,1384.0
2001,Germany,Uganda,68.0
2001,Germany,Ukraine,190.0
2001,Germany,Unbekanntes Ausland,3881.0
2001,Germany,Ungarn,673.0
2001,Germany,Ungeklärt / Ohne Angabe,8072.0
2001,Germany,Uruguay,58.0
2001,Germany,Usbekistan,17.0
2001,Germany,"Venezuela, Bolivarische Republik",156.0
2001,Germany,Vereinigte Arabische Emirate,310.0
2001,Germany,Vereinigte Staaten,13485.0
2001,Germany,Vereinigtes Königreich,5596.0
2001,Germany,Vietnam,88.0
2001,Germany,Zentralafrikanische Republik,19.0
2001,Germany,Zypern,116.0
2001,Germany,Ägypten,313.0
2001,Germany,Äthiopien,72.0
2001,Germany,Österreich,5630.0
2001,Germany,Übriges Afrika,495.0
2001,Germany,Übriges Amerika,691.0
2001,Germany,Übriges Asien,566.0
2001,Germany,Übriges Europa,487.0
2001,Germany,Übriges Ozeanien,84.0
2002,Germany,Afghanistan,74.0
2002,Germany,Albanien,30.0
2002,Germany,Algerien,296.0
